algorithm,data_distribution,n,repetitions_requested,repetitions_completed,complexity,status,time_limit_seconds,total_time_seconds,average_time_seconds
Bubble Sort,reversed,1000,2000,2000,quadratic,ok,60.00,3.091000000,1.545500000000e-03
Merge Sort,reversed,1000,2000,2000,general,ok,120.00,0.288000000,1.440000000000e-04
Quick Sort,reversed,1000,2000,446,quick,time_limit_reached,10.00,10.018000000,2.246188340807e-02
Shell Sort,reversed,1000,2000,2000,general,ok,120.00,0.643000000,3.215000000000e-04
Count Sort,reversed,1000,2000,2000,general,ok,120.00,0.009000000,4.500000000000e-06
Cocktail Shaker Sort,reversed,1000,2000,2000,quadratic,ok,60.00,3.053000000,1.526500000000e-03
Gnome Sort,reversed,1000,2000,1323,quadratic,time_limit_reached,60.00,60.021000000,4.536734693878e-02
Insertion Sort,reversed,10000,50,50,quadratic,ok,60.00,3.975000000,7.950000000000e-02
Selection Sort,reversed,10000,50,50,quadratic,ok,60.00,3.439000000,6.878000000000e-02
Bubble Sort,reversed,10000,50,50,quadratic,ok,60.00,7.311000000,1.462200000000e-01
Merge Sort,reversed,10000,50,50,general,ok,120.00,0.081000000,1.620000000000e-03
Quick Sort,reversed,10000,50,5,quick,time_limit_reached,10.00,11.087000000,2.217400000000e+00
Shell Sort,reversed,10000,50,50,general,ok,120.00,0.196000000,3.920000000000e-03
Count Sort,reversed,10000,50,50,general,ok,120.00,0.002000000,4.000000000000e-05
Cocktail Shaker Sort,reversed,10000,50,50,quadratic,ok,60.00,7.466000000,1.493200000000e-01
Gnome Sort,reversed,10000,50,14,quadratic,time_limit_reached,60.00,63.519000000,4.537071428571e+00
Insertion Sort,reversed,100000,10,8,quadratic,time_limit_reached,60.00,62.746000000,7.843250000000e+00
Selection Sort,reversed,100000,10,9,quadratic,time_limit_reached,60.00,60.435000000,6.715000000000e+00
Bubble Sort,reversed,100000,10,5,quadratic,time_limit_reached,60.00,72.341000000,1.446820000000e+01
Merge Sort,reversed,100000,10,10,general,ok,120.00,0.170000000,1.700000000000e-02
Quick Sort,reversed,100000,10,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,reversed,100000,10,10,general,ok,120.00,0.532000000,5.320000000000e-02
Count Sort,reversed,100000,10,10,general,ok,120.00,0.006000000,6.000000000000e-04
Cocktail Shaker Sort,reversed,100000,10,5,quadratic,time_limit_reached,60.00,74.307000000,1.486140000000e+01
Gnome Sort,reversed,100000,10,1,quadratic,time_limit_reached,60.00,9556.961000000,9.556961000000e+03
Insertion Sort,reversed,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Selection Sort,reversed,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Bubble Sort,reversed,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Merge Sort,reversed,1000000,1,1,general,ok,120.00,0.192000000,1.920000000000e-01
Quick Sort,reversed,1000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,reversed,1000000,1,1,general,ok,120.00,2.543000000,2.543000000000e+00
Count Sort,reversed,1000000,1,1,general,ok,120.00,0.007000000,7.000000000000e-03
Cocktail Shaker Sort,reversed,1000000,1,1,quadratic,time_limit_reached,60.00,60.005000000,6.000500000000e+01
Gnome Sort,reversed,1000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Insertion Sort,reversed,5000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Selection Sort,reversed,5000000,1,1,quadratic,time_limit_reached,60.00,60.003000000,6.000300000000e+01
Bubble Sort,reversed,5000000,1,1,quadratic,time_limit_reached,60.00,60.002000000,6.000200000000e+01
Merge Sort,reversed,5000000,1,1,general,ok,120.00,0.522000000,5.220000000000e-01
Quick Sort,reversed,5000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,reversed,5000000,1,1,general,ok,120.00,48.072000000,4.807200000000e+01
Count Sort,reversed,5000000,1,1,general,ok,120.00,0.022000000,2.200000000000e-02
Cocktail Shaker Sort,reversed,5000000,1,1,quadratic,time_limit_reached,60.00,60.012000000,6.001200000000e+01
Gnome Sort,reversed,5000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Insertion Sort,reversed,10000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Selection Sort,reversed,10000000,1,1,quadratic,time_limit_reached,60.00,60.002000000,6.000200000000e+01
Bubble Sort,reversed,10000000,1,1,quadratic,time_limit_reached,60.00,60.010000000,6.001000000000e+01
Merge Sort,reversed,10000000,1,1,general,ok,120.00,1.080000000,1.080000000000e+00
Quick Sort,reversed,10000000,1,1,quick,time_limit_reached,10.00,10.000000000,1.000000000000e+01
Shell Sort,reversed,10000000,1,1,general,time_limit_reached,120.00,120.000000000,1.200000000000e+02
Count Sort,reversed,10000000,1,1,general,ok,120.00,0.045000000,4.500000000000e-02
